path,sha256,firstCommit,category,action,packaging,rationale,sourceEvidence
.gitignore,9facc6f88e2a6349cffd7e12b8a346bf05a219335a18632bd5046779bf7a8119,ee589e1a6dafe1f850f1d23a1b093258b30173b0,local-candidate,review-and-adapt,source/build,Local history; absence of an archive match is not proof of independent authorship.,
BOSS-WIKI-AUDIT.md,8d902329909338958513da6a480de46852d7eb472b5ce25e18e5c476f70b9536,4b80d5cd5e0d875b7cefa554bd9192f5d8961627,local-candidate,review-and-adapt,source/build,Local history; absence of an archive match is not proof of independent authorship.,
COVERAGE.md,51368ff14a1de41575a0b31fbbb4a1c813816f256c99fb9066eb84bbe5a8cd84,ee589e1a6dafe1f850f1d23a1b093258b30173b0,local-candidate,review-and-adapt,source/build,Local history; absence of an archive match is not proof of independent authorship.,
LICENSE,3972dc9744f6499f0f9b2dbf76696f2ae7ad8af9b23dde66d6af86c9dfb36986,ee589e1a6dafe1f850f1d23a1b093258b30173b0,license-text,retain-until-migration,source/build,Current aggregate GPL license; do not replace while covered material remains.,https://github.com/weirdgloop/osrs-dps-calc/blob/89c3e25/LICENSE [exact SHA-256]
NOTICE.md,73e3157c97d763950f095f9c948c1164a5dec47ce621183c7de534999e06fc9b,ee589e1a6dafe1f850f1d23a1b093258b30173b0,attribution,preserve-and-update,source/build,Required provenance/third-party notices; duplicate runtime copies must remain consistent.,
PARITY.md,ead7bdf1d2cf14edbb11a5c4063365a447ea52002ea26fc7deb0cb296c8ac2b5,97a12813a7ae84a440a1c1280a2c85260684a27c,local-candidate,review-and-adapt,source/build,Local history; absence of an archive match is not proof of independent authorship.,
README.md,16e9f23200b8553e2303454cff2167b790cdddf08351628ac8f61693c62c046c,ee589e1a6dafe1f850f1d23a1b093258b30173b0,local-candidate,review-and-adapt,source/build,Local history; absence of an archive match is not proof of independent authorship.,
RELEASE-REVIEW.md,84b5dcbfe31e3dca8ef87b72272b2474103ab14e26873685b14538a7faec5bbd,d5da692ecfb032aa46502c194bbd257584c07e70,local-candidate,review-and-adapt,source/build,Local history; absence of an archive match is not proof of independent authorship.,
REQUIREMENTS.md,848a5be3699a742e8dbe10fa8db05d387ad6bf22a8f89f7f0f68f4d1ad6b0b34,ee589e1a6dafe1f850f1d23a1b093258b30173b0,local-candidate,review-and-adapt,source/build,Local history; absence of an archive match is not proof of independent authorship.,
build.gradle,05fbd7539e905ab8706e6ad9f08a36fa9927d7b2b383b94a2bf8d079ac095b82,ee589e1a6dafe1f850f1d23a1b093258b30173b0,local-candidate,review-and-adapt,source/build,Local history; absence of an archive match is not proof of independent authorship.,
gradle/wrapper/gradle-wrapper.jar,2db75c40782f5e8ba1fc278a5574bab070adccb2d21ca5a6e5ed840888448046,ee589e1a6dafe1f850f1d23a1b093258b30173b0,build-tool,retain-with-notices,source/build,"Wrapper from pinned RuneLite example-plugin (TEMPLATE-SOURCE.md); Gradle Apache-2.0 tooling, not plugin runtime code.",https://github.com/Jiimbones/wiki-gear-setups/blob/e836b8d156f0f5f9b7e6375bb04c52f21835ac19/gradle/wrapper/gradle-wrapper.jar [exact SHA-256]
gradle/wrapper/gradle-wrapper.properties,d3f1d448862ab6f5203253efb2e787dc77df35d9dddb68a5d717c0abd7a9ea54,ee589e1a6dafe1f850f1d23a1b093258b30173b0,build-tool,retain-with-notices,source/build,"Wrapper from pinned RuneLite example-plugin (TEMPLATE-SOURCE.md); Gradle Apache-2.0 tooling, not plugin runtime code.",https://github.com/Jiimbones/wiki-gear-setups/blob/e836b8d156f0f5f9b7e6375bb04c52f21835ac19/gradle/wrapper/gradle-wrapper.properties [exact SHA-256]
gradlew,a3648413b47ef77af21d5ebc36c687c7d103aaef3e17f33de7d4f080a6f300a3,ee589e1a6dafe1f850f1d23a1b093258b30173b0,build-tool,retain-with-notices,source/build,"Wrapper from pinned RuneLite example-plugin (TEMPLATE-SOURCE.md); Gradle Apache-2.0 tooling, not plugin runtime code.",https://github.com/Jiimbones/wiki-gear-setups/blob/e836b8d156f0f5f9b7e6375bb04c52f21835ac19/gradlew [exact SHA-256]
gradlew.bat,2209f919a22528af59a2af2ad97e8d056cca18e39f7d87aa3fd549a73b180150,ee589e1a6dafe1f850f1d23a1b093258b30173b0,build-tool,retain-with-notices,source/build,"Wrapper from pinned RuneLite example-plugin (TEMPLATE-SOURCE.md); Gradle Apache-2.0 tooling, not plugin runtime code.",
